"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"11",-20.1463153082891,-20.99478362357,-21.5772435873236,-22.3523429993987,-22.7172333636858,-23.065182548281,-23.4922835848976,-23.2768310556338,-22.8836175175328,-22.3038283227915,-21.7502625415581,-21.3876647520605,-20.8989582196303,-20.521215853439,-20.1062545497535,-19.6825259254504,-19.4220625009175,-18.8307430128784,-18.2896957991247,-17.6145918239669,-17.1497384257792,-16.676959128196,-16.0943907845238,-15.9066835512925,-15.0766224838494,-14.543019370564,-14.2106040279968,-13.7161940012003,-13.2071719135468,-13.2562611459735,-13.1890848333278,-13.1988526273604,-13.3468386642544,-13.3928444246668,-13.5351628222954,-13.9279966585711,-14.2774516173618,-14.8308324884441,-15.2583736259018,-15.8276084386527,-16.3251221074221,-17.0064939297091,-17.5956652929419,-17.9999441094152,-18.5895662018733,-19.8473806429519,-20.9197220219104,-21.9648929743878,-22.7617899004117,-23.2696872772099
"12",-22.2401670544397,-22.9813169654151,-23.2452701444232,-23.7061133191914,-23.9300553160741,-24.0031988682851,-24.2857373191154,-23.9436688892195,-23.3929806765225,-22.7633407214323,-22.1613603138011,-21.6830493660294,-21.286214567866,-20.9217397587291,-20.4452660784283,-20.0279459856109,-19.7288582709169,-19.3125752024496,-18.8930597636801,-18.2343440686111,-17.7039553845901,-17.164790630497,-16.4385463672435,-16.1567337745367,-15.4040020055171,-14.9220211007539,-14.6628305925312,-14.3659558039524,-13.8548207842249,-13.8045704635624,-13.6296834181243,-13.6204813705996,-13.6071793062217,-13.5931257808733,-13.5886368770616,-13.9543853145383,-14.3307846578269,-14.9650930210819,-15.2751996511096,-15.7369748844049,-16.2638952347602,-16.953584470258,-17.5973862540924,-18.085969184922,-18.7578904116809,-20.0610732030697,-21.062358825465,-21.9526994348352,-22.7170313110312,-23.0078237019683
"13",-24.6567606903618,-25.170139274191,-25.1007666025942,-25.2939853260914,-25.3227218898856,-25.0762148805383,-25.0709618506356,-24.5862757618118,-24.0411195764468,-23.4758504444777,-22.9467837901023,-22.4643703480165,-22.1364746870632,-21.6720202334946,-20.9790147117138,-20.4989743729442,-20.1849955783492,-20.0108712821651,-19.7150046077555,-19.0702604837485,-18.462226029054,-17.8326133874901,-16.9672491323174,-16.6929614021584,-16.0310915731964,-15.5934578533968,-15.2136579423432,-15.0510212259754,-14.5562433170839,-14.5323934732187,-14.2525521393165,-14.3361767142207,-14.2581766326662,-14.3158887516951,-14.2226517854543,-14.5334542612129,-14.8831300625631,-15.4719926802089,-15.7662996107886,-16.1556666089699,-16.7579526877523,-17.4521742896704,-18.2015858040166,-18.8178798558692,-19.625955809042,-20.8949182876461,-21.8133916792875,-22.5307699862092,-23.2714112819582,-23.6216503073959
"14",-26.7235153313317,-26.8514383581855,-26.6047779943021,-26.5647034515015,-26.4336248680626,-25.9728530928873,-25.7456762407594,-25.2343389796068,-24.8151049488208,-24.3537035325475,-23.9095802412625,-23.4730063492823,-23.1524848843467,-22.5633700663528,-21.7282098158035,-21.1330763599205,-20.782997082863,-20.6261232886551,-20.3411164107929,-19.7221079413192,-19.0568609465082,-18.4577500965865,-17.6488416255403,-17.3691689985913,-16.7638515887624,-16.3678129742633,-15.9388030737126,-15.6656146195183,-15.0335541534356,-15.0667607298627,-14.900034040854,-14.9424502055105,-14.888544067938,-15.1121850608292,-15.0655047377831,-15.4516072052045,-15.9143022638273,-16.4158870812678,-16.6786512442317,-16.9553122957164,-17.5095218882395,-18.1799102315938,-19.0136113130493,-19.7485776342634,-20.5315635581569,-21.561852253943,-22.4062863030478,-22.9467712144257,-23.5009306097751,-24.0287039398246
"15",-27.7449283336325,-27.6668820418166,-27.4465947591657,-27.2072075413528,-26.98448791073,-26.5552590954299,-26.2846532094245,-25.8845520767674,-25.552209804223,-25.1233051466853,-24.7338876696467,-24.3601729785852,-24.0419971928481,-23.4042698090193,-22.5258742765337,-21.7850767346563,-21.289037152589,-20.9829067111479,-20.6160799977706,-20.1406061095592,-19.5271869387424,-18.8903103508806,-18.171147433957,-18.0013117270556,-17.5511358652549,-17.203951237421,-16.7379823854146,-16.2231886890842,-15.4004037600984,-15.4750021467735,-15.4963632693875,-15.3851775716856,-15.3504147087683,-15.6944754998742,-15.7207994568656,-16.2669107974679,-16.812985350731,-17.24594422676,-17.4493483733918,-17.6808124728863,-18.2396732960464,-18.8811046951789,-19.6338708063411,-20.3520982061499,-20.8760803258614,-21.5757443611764,-22.2380442623432,-22.5166871105114,-22.7404377797144,-23.4568971135948
"16",-28.0124042285774,-27.9895191735074,-27.874078103893,-27.5907851024279,-27.3516856517755,-27.0850882176737,-26.7743904840947,-26.4243746700272,-26.0075872016757,-25.555400517901,-25.1378559329264,-24.8104243480465,-24.4383301577892,-23.7922849437165,-23.0513229964357,-22.3142584843073,-21.6765745477037,-21.2007565756396,-20.8054568766768,-20.4526806709668,-19.8505231002863,-19.1553782968244,-18.5858500212027,-18.4519793020023,-18.1520075765878,-17.8138763634208,-17.4124382230487,-16.7388519860489,-15.8387253527934,-15.8070648073266,-15.9286550281881,-15.798731062938,-15.7391222224764,-16.0324710599008,-16.1088743230881,-16.6892108760389,-17.23861575246,-17.6261100203422,-17.784508380057,-18.0208951736115,-18.4737617376312,-18.9915456069068,-19.4996140532602,-19.8997745230409,-20.1053854003603,-20.5964060318884,-20.9457043674697,-20.9872646055571,-20.8846717836287,-21.6717717106513
"17",-28.2777565526558,-28.3779736783452,-28.260716405368,-28.0265774306826,-27.8360764358995,-27.5690331227937,-27.1300476326124,-26.7700366254678,-26.25578657596,-25.7264823119726,-25.1254933223798,-24.7256803842084,-24.2963031666649,-23.6861241112226,-23.0482163896333,-22.4116742987609,-21.8398917967108,-21.3114721366018,-20.9214303623194,-20.5878822044148,-19.9126087027477,-19.1433487838949,-18.7041946548825,-18.552227985733,-18.3462343846356,-18.0172519028699,-17.7044308601626,-17.0399577732003,-16.1635503125025,-15.9289426883707,-16.0607396687014,-15.912611642977,-15.9276020210242,-16.119531006937,-16.1811850251281,-16.631401821879,-16.9839211412298,-17.2353631820252,-17.3551166893635,-17.5642625250132,-17.8741481923376,-18.2011370385354,-18.4634507216545,-18.5038699753386,-18.3924212452816,-18.6394208623877,-18.6262516297189,-18.5181431718871,-18.4161552995789,-19.2230997030016
"18",-28.7342516784412,-28.9621643318647,-28.76235733008,-28.5048368315759,-28.2823691097626,-27.90576317943,-27.3975325552074,-26.9741715536773,-26.3628118336149,-25.7707756150061,-24.9943163680366,-24.5534917862432,-24.1175564437979,-23.5773153894878,-22.9551555810649,-22.4450777706836,-22.0536091672503,-21.596151555694,-21.2694270211197,-20.8970013605381,-20.029326385608,-19.1156920117415,-18.6838820418601,-18.5476304624641,-18.2562602811033,-17.9352719559196,-17.8245474998539,-17.3154456679064,-16.4191666206156,-15.7802753016266,-15.7196919133607,-15.5543176676367,-15.6407707990977,-15.713454893545,-15.6553124980325,-15.8379899732297,-16.018567690522,-16.0954556256901,-16.1153433057822,-16.2652510011459,-16.3937127053128,-16.4697378149035,-16.4439577769653,-16.2522072544051,-15.9859206182128,-15.9364218356332,-15.6916123210294,-15.5785585666925,-15.9035414236313,-16.9194595779263
"19",-29.1896181467855,-29.4299655444558,-29.1522153338832,-28.8331013252318,-28.5909023530083,-28.2250629864447,-27.6393565379761,-27.1785120763226,-26.5607983852886,-25.9181170909664,-25.0365955375908,-24.6507464972053,-24.2805767134029,-23.809065750481,-23.1328347517415,-22.6801110249382,-22.3447920860567,-21.9379559481661,-21.6142322921502,-21.2969381521128,-20.360026540995,-19.2738694348548,-18.811743879406,-18.6965469034514,-18.3059867314885,-17.8761874777917,-17.8246651119243,-17.3053981787351,-16.3772533260887,-15.2633203848622,-14.9094087547355,-14.5640994503737,-14.6484874792832,-14.5375481999135,-14.2374155391808,-14.1526811770875,-14.1757331821687,-14.1378081461802,-14.0092442644854,-14.0436124501086,-14.0207707803789,-13.849548967211,-13.6302842382506,-13.4274975089664,-13.1412498703187,-12.9556363134953,-12.7955856965812,-12.9769253461856,-14.0011674178365,-15.4070170952955
"20",-29.1898471311052,-29.3303228222295,-29.0868337005356,-28.9330824578781,-28.7963183362011,-28.4441388713319,-27.8187855508133,-27.3514759283659,-26.7869565479099,-26.122460703905,-25.2958649535478,-24.9600635938985,-24.5818512298644,-24.1080035161219,-23.4025122326553,-22.8275708187034,-22.362902221,-22.0885344183763,-21.7485759020407,-21.6003250230359,-20.719563066162,-19.5410616621805,-18.9494557355842,-18.8361934895131,-18.3108253108727,-17.6494258399444,-17.3446496675584,-16.6393035185568,-15.5825727784099,-14.1491973620792,-13.5497415144323,-13.0958992828302,-13.0012363831924,-12.6976615284863,-12.1773770483303,-11.8693933373295,-11.6648720994042,-11.4950327191371,-11.3197538024701,-11.3259619420841,-11.1297140668561,-10.8331423568282,-10.6179610844992,-10.5186278911468,-10.5103670130579,-10.5793253822321,-10.8100046302585,-11.6315609186156,-13.3336041895785,-14.978692616013
"21",-28.81903981945,-28.8486596011902,-28.640443685462,-28.690410091135,-28.7666375637939,-28.3351355968723,-27.650845980461,-27.1733623203784,-26.7310636175159,-26.1326416533348,-25.4110821152936,-25.0750239852246,-24.5750525410156,-24.0376664430502,-23.3194367501869,-22.6148963815059,-22.1274135630649,-21.9609871648262,-21.6077061445623,-21.4740252032137,-20.6494293675653,-19.5079449684716,-18.6502681144811,-18.3497930099704,-17.7106730186519,-16.7159446091432,-15.9600506078631,-15.029756409708,-13.6683355326928,-12.043628267839,-11.4684559251686,-10.8257409000943,-10.6357792876779,-10.3210035817056,-9.70870788198723,-9.24348351294052,-8.80293959568064,-8.55104427460291,-8.4746610044275,-8.58681387431598,-8.38123506168977,-8.17171568022147,-8.20262840876519,-8.44728172395154,-8.89202602472868,-9.41561115527291,-10.2294994783923,-11.7256705214367,-13.8320397254425,-15.471257318519
"22",-28.3822460222644,-28.3132199559933,-28.0529071095415,-28.1537901132993,-28.3898032870408,-27.9090482837312,-27.1905423197123,-26.7060580663818,-26.3714701962038,-25.8034982704665,-25.1471970800881,-24.6779390710705,-24.0740238120003,-23.5434783004018,-22.8686823183749,-22.1567858632275,-21.6932166426101,-21.4205559953574,-21.0318822351655,-20.7957118989003,-19.8492977731258,-18.6994367402011,-17.5604930928748,-16.955117688428,-16.226579485864,-15.0332963113933,-13.8019986437582,-12.6581939037868,-11.1250598290107,-9.53068257075167,-9.00926816368825,-8.34418984194511,-8.19522045036364,-7.8612265861694,-7.35453543690662,-6.80323405485029,-6.25694391466945,-6.03648658986437,-6.14358366296933,-6.44000040337111,-6.45670595715368,-6.59202887626025,-7.02763142628382,-7.66320246773268,-8.57018698734799,-9.61625312913247,-11.0390940643558,-13.0136128700519,-15.1694058810304,-16.5968841888846
"23",-28.0821946726759,-27.8332561435365,-27.4655945142914,-27.4444517509118,-27.6043913122294,-27.0943534091297,-26.3300612088411,-25.8860843294434,-25.5544998074371,-25.0104222214343,-24.3628752916739,-23.738855736087,-23.12280510698,-22.5533370501749,-21.9849222499155,-21.3652275116519,-20.9794522560106,-20.5646721723094,-20.0428045623304,-19.4632063320058,-18.3507176829355,-17.0900090853402,-15.633771810644,-14.8241055226276,-14.083396678504,-12.8786271945838,-11.2544992398026,-9.93812574881398,-8.42430355387272,-6.9449303954998,-6.63551988997823,-6.0804227670741,-6.04825235450624,-5.85057878074549,-5.53159745746663,-5.02802927280649,-4.59490005871304,-4.48588747077696,-4.78771865937273,-5.29335432833127,-5.71373611248268,-6.30804103145374,-7.22022877347616,-8.26145768201524,-9.37185703478717,-10.7368249886576,-12.4791164836477,-14.6546841200708,-16.5966579188238,-17.6340355554011
"24",-27.9815095211122,-27.5613115687797,-27.1164721406178,-26.8889305258635,-26.8606484158893,-26.3517430040388,-25.622220894656,-25.1782391786195,-24.7142541605176,-24.0218301552935,-23.2540279789642,-22.5360612106606,-22.0248081740146,-21.4656608784273,-21.0226215491157,-20.4175437812854,-20.0337683419854,-19.4423890480305,-18.6354110607806,-17.7069781852206,-16.4331430544496,-15.1266259515747,-13.5158562441948,-12.5670542308159,-11.8415731265754,-10.6526515090226,-8.78773778389856,-7.38694742176719,-6.14097007599197,-4.913802055251,-4.7239481583584,-4.52998141769595,-4.55945215547265,-4.51716041687653,-4.41217918094452,-4.17675043454595,-4.02432032584741,-4.11151977573908,-4.65497069442488,-5.42442313655738,-6.18837837205542,-7.14731715079192,-8.40614889310199,-9.57706193136111,-10.7339573485137,-12.2898989669538,-14.0022439672509,-16.0536695579917,-17.6368393217922,-18.2601087408316
"25",-27.9826422696702,-27.472718249113,-26.9934445769421,-26.6504814500606,-26.4730076162435,-25.9322682223603,-25.2299521761241,-24.8135749878935,-24.2046417788475,-23.3081343334177,-22.3172164866863,-21.5474072482251,-21.1398406274215,-20.6130663561422,-20.2745405241726,-19.6444443963463,-19.20864061089,-18.3897003671871,-17.2434441422493,-16.0398105149477,-14.6260252238629,-13.2988820054402,-11.7082758569248,-10.7065831586582,-9.93305271700195,-8.79263085831763,-6.89805940015354,-5.57139855956091,-4.5900001223276,-3.72382924104564,-3.61374901398118,-3.83118679461369,-3.99843458778861,-4.15173382896804,-4.30472510290623,-4.4209547574624,-4.53676090504803,-4.86093333452445,-5.52242725039508,-6.42914061167034,-7.41320616401046,-8.63815111622933,-10.0738958123248,-11.2818021725444,-12.3954576552154,-13.8801341953353,-15.3570169519368,-17.0555305791842,-18.2420916531187,-18.6298267334031
"26",-28.1768747312225,-27.703426485766,-27.2173434690781,-26.715418893892,-26.3896157499037,-25.7907074751854,-25.1115310533217,-24.6492554717786,-23.9062513386576,-22.9475134675467,-21.8067868164129,-21.0217705156848,-20.6765711348116,-20.173896248789,-19.8857145297362,-19.1947885943824,-18.5998893719221,-17.5520227609567,-16.1614472921581,-14.82247015114,-13.3859445916763,-12.0444179219257,-10.4536319483406,-9.46386517950073,-8.56496812982719,-7.48711784890024,-5.71569207009775,-4.54171542632489,-3.91246136278916,-3.42882264987045,-3.4257102741707,-3.94264921462002,-4.2562304489076,-4.59323790266823,-5.0150574901433,-5.42670218144738,-5.78503779862771,-6.32709208558161,-7.08328057838142,-8.12390486450423,-9.25831611783287,-10.5933789368219,-11.9702609057084,-13.1149076518166,-14.1119293684455,-15.3544339328095,-16.455778231656,-17.6041725516749,-18.3694342428303,-18.6328043962446
"27",-28.2438322828289,-27.889709889124,-27.4564951658551,-26.8096660014862,-26.3759194942908,-25.7821867765628,-25.1558430226715,-24.6236662540418,-23.8429220081513,-22.9714012426358,-21.7811848073315,-20.9961175407537,-20.5990183168917,-20.0699751373644,-19.7102716836645,-18.9301831285477,-18.013967642335,-16.8048195465469,-15.2985753849201,-13.9139012132148,-12.5654719246805,-11.1969834864298,-9.66794058533962,-8.65609175170469,-7.74627128107116,-6.85764183003301,-5.26951712957616,-4.31974337677427,-4.17538781859617,-4.02613817332768,-4.10470950582979,-4.76261229608256,-5.09606013732967,-5.60526802102088,-6.36060661085533,-7.0162871819602,-7.59626888212712,-8.3628851644598,-9.17884119857371,-10.295147997124,-11.4963760915819,-12.7049971831352,-13.8011295290576,-14.756938022187,-15.5572524431293,-16.4758049253053,-17.1661507536296,-17.7487089625769,-18.0627038779576,-18.1735135287709
"28",-28.3123120099182,-28.1319953052756,-27.7761652599891,-27.0433631091678,-26.4861340659026,-25.8370048901217,-25.192032092345,-24.6323673948833,-23.9693005844384,-23.2842793929116,-22.1230855257519,-21.2601705920573,-20.6877594195613,-20.0632703383774,-19.5720173607688,-18.6134454974572,-17.3312695890415,-16.1504054028001,-14.6875599993273,-13.3956677440833,-12.1141558443182,-10.7347726590018,-9.36376910488744,-8.39522087289461,-7.58166571337101,-6.90629182916742,-5.5501544831394,-4.94988639633027,-5.15412821499014,-5.35579857604363,-5.47669273719984,-6.25123390771784,-6.48688942456417,-7.00529829464359,-7.88767695520484,-8.70974975235238,-9.45419879644275,-10.3658994796944,-11.1875347680121,-12.2958178660151,-13.3514080632071,-14.3151070531075,-15.0334233352381,-15.6847877303093,-16.1927394374772,-16.7500144907897,-17.0394380971107,-17.2320745678264,-17.3023148309826,-17.0953723136674
"29",-28.4750160212181,-28.4228721152237,-28.1277120228747,-27.3943184326785,-26.6404450324552,-25.9502062222775,-25.2348780625522,-24.6744574832842,-24.07126287172,-23.5043244881329,-22.4375299490479,-21.5171822500321,-20.7542031296669,-19.9556967009704,-19.2789989641905,-18.0421692270839,-16.5027783974251,-15.3649601706278,-13.9570105111158,-12.8022632600053,-11.6710062737691,-10.3490844276614,-9.16546104302727,-8.42986774115095,-7.84857023934272,-7.56276094758273,-6.56030589290991,-6.40918235822461,-6.68189223205947,-7.07675472690226,-7.18394707729426,-7.93489659968789,-8.13391073985106,-8.60501239747491,-9.411094181178,-10.2374070858371,-10.9286677833804,-11.7103011564144,-12.3745566225571,-13.3107693789503,-14.1567972688928,-14.8239123311594,-15.1374101076977,-15.4394247841958,-15.7209278502677,-15.9565324674684,-15.9700975750868,-15.8789054098504,-15.8220333186222,-15.2474163683971
"30",-28.7923215712744,-28.7996268363319,-28.4224288219172,-27.6637623708121,-26.7284424989397,-26.0251507307991,-25.2533630760138,-24.6651308788878,-24.0147436101229,-23.4342790638125,-22.3696816685173,-21.2800110867051,-20.2220836023432,-19.2345689268459,-18.4436156667581,-17.0846778931578,-15.5173804279107,-14.5670521871304,-13.2520513295015,-12.1692291244987,-11.2309371401958,-10.0664405238394,-9.08312287998081,-8.68837147806346,-8.38429254880715,-8.40332148779614,-7.92763228277611,-8.10809252972592,-8.35287834690041,-8.68615383104921,-8.61827324433605,-9.18692880748211,-9.31421309521571,-9.56798689044223,-10.0911039684634,-10.6587386522335,-11.2110779344459,-11.7767745841697,-12.1950447087466,-12.8127367339602,-13.3891850478203,-13.795281984496,-13.8999513613066,-13.9095306909573,-13.9700748586837,-13.9470746923646,-13.793226170303,-13.4204438559339,-13.2831953406384,-12.6270856688688
"31",-29.2852092853787,-29.1369287421812,-28.5922882757335,-27.8009695153562,-26.737146997334,-25.9556989572996,-25.0766346691173,-24.3355262902674,-23.5217695697991,-22.8053909241673,-21.5737428115802,-20.2721841595047,-18.961589471418,-17.8586606206667,-17.0265710333764,-15.766355706158,-14.3743648763703,-13.6106391904678,-12.4355907257014,-11.4403475459089,-10.6824025316269,-9.74616509378672,-8.93867010011249,-8.95327186913023,-8.99695480969541,-9.21235807090943,-9.22019162828848,-9.59410216289523,-9.7794747444991,-9.87764016661038,-9.59456157185918,-9.71233846728475,-9.66701176319505,-9.59612779917914,-9.6511491819575,-9.71721184552902,-9.94950381403527,-10.2717821022647,-10.387703252126,-10.65513213787,-10.9817344165178,-11.2027794944475,-11.2222962464843,-11.0477264677129,-10.8970534187167,-10.6521399596994,-10.3787095030349,-9.9245233624489,-9.94237954831328,-9.65270774730241
"32",-29.4710102980648,-28.9971270561144,-28.2731034890896,-27.3552321609164,-26.272005146374,-25.3656757120591,-24.31896574656,-23.3671804085619,-22.3139255611195,-21.4189458683071,-19.9896356417796,-18.5757316639789,-17.1635149961118,-15.9835157307315,-15.1359788512803,-14.1282484711624,-13.0854087138633,-12.4688865432819,-11.5022556231574,-10.6923141081454,-10.0535465859197,-9.28029765018191,-8.68116101734353,-9.13422552834287,-9.52890897870483,-9.78991106119211,-10.0978801742275,-10.492028256203,-10.6622475676493,-10.5280208356568,-9.94500469118528,-9.47180646080099,-8.99711592126349,-8.37799204452984,-7.83864972475791,-7.37497204377452,-7.21212993683918,-7.21077928770238,-7.17341946089906,-7.25963838142304,-7.41478669877366,-7.52190451826638,-7.44144614625129,-7.14848139690547,-6.98239508220872,-6.70627449713833,-6.4923927779293,-6.19980215295293,-6.54071601852544,-6.72611892084164
"33",-29.0485552596405,-28.2735671306858,-27.3504034147711,-26.2059595706513,-25.0585339452926,-23.9530899112026,-22.7170765208464,-21.5799490999969,-20.3742607537167,-19.2854525207219,-17.7592819328757,-16.3221364017868,-14.9836741129873,-13.8442400591065,-13.0469798839992,-12.40415170408,-11.7923211382844,-11.3861382249595,-10.6389510627448,-10.0703025947849,-9.64944771555567,-8.89902663119347,-8.46147274446651,-9.2698535976438,-9.86744959265057,-10.1233156206176,-10.3992527334139,-10.5960715666047,-10.7457068097388,-10.2940682672018,-9.33177059066323,-8.25433574498958,-7.23801670253404,-5.98408350633366,-4.92916618023781,-4.21343534891912,-3.79626103191142,-3.53074953775055,-3.43318073145529,-3.39888583506607,-3.40090671676589,-3.40227375683732,-3.25340016647514,-3.04285019028918,-3.04841514328444,-3.03412033808041,-3.09972088443034,-3.11844600183573,-3.78848178911638,-4.08321691553813
"34",-28.360573412208,-27.253645592872,-26.1342211275537,-24.8551621283078,-23.5455922662944,-22.2476171520997,-20.8234827531227,-19.5370256151784,-18.2587283630828,-17.0197232562906,-15.5555612235545,-14.168496153289,-13.0466211712268,-12.0453765492915,-11.3221427785124,-11.0260499828571,-10.7480771382706,-10.5766101530411,-10.0104375978154,-9.5431846143959,-9.29372472573082,-8.66445190365019,-8.52277253548138,-9.59246546622325,-10.0534283291431,-10.0997259455221,-10.2173561043322,-10.17967458481,-10.2802730811846,-9.39128808430313,-7.97208109558199,-6.25186499543054,-4.77361698970476,-3.13164828623417,-1.7469682398101,-0.882166310982174,-0.331918739886812,0.0778750663275627,0.291069229981552,0.399491376843843,0.50541672183291,0.574098289654067,0.715709584548697,0.723053973892929,0.3937744282512,-0.0120238863534481,-0.459822756596445,-0.972897478291457,-1.88551808673881,-2.20553640936922
"35",-27.7811995802016,-26.3855987532154,-25.1080341618292,-23.7163611590109,-22.1120346900428,-20.6690099193515,-19.075995787801,-17.7031464299735,-16.3848726925371,-15.1489314541035,-13.8322500729751,-12.5782260394581,-11.723483606389,-10.9777748153763,-10.445621831515,-10.4019679025229,-10.2878378920168,-10.207790786514,-9.70031417347448,-9.32556707124997,-9.26750582149909,-8.84938707626675,-9.11783435791078,-10.1900466087415,-10.1589434299459,-9.96354094824882,-9.84370807493655,-9.44412163027248,-9.3610772745502,-7.91555160267195,-6.04987472102133,-3.92422320632007,-2.20566407232245,-0.368810537858427,1.13107825025288,2.02088599839972,2.59675252807412,3.03573797420902,3.4217935258187,3.52621022724569,3.56530356018033,3.65420184490309,3.78767178794779,3.61181023084535,2.8865573697726,2.09913993754511,1.26042494455378,0.160880305327871,-0.986638178233799,-1.47843505827864
"36",-27.3877969838153,-25.8614968549813,-24.4749695849316,-22.9555830296558,-21.00423525653,-19.373709229141,-17.6604645131296,-16.3001685692741,-14.9657169255873,-13.8620789016786,-12.6852097507197,-11.6012801671333,-10.9875816988741,-10.4954029059221,-10.1704438073971,-10.2725725315912,-10.2052648991461,-10.0888651378518,-9.62325069032902,-9.46656729814031,-9.59350340335656,-9.43976769746182,-9.96870211612245,-10.7838447103468,-10.2114731085085,-9.78401145245682,-9.36024518968048,-8.54987790716811,-8.07746453025599,-6.06833927179023,-3.85358262379286,-1.66340046388402,0.111606433675531,1.94440334766121,3.22948440288977,3.97031391672342,4.54180516294237,5.07701715703109,5.6013300840831,5.5921569890143,5.46334169063327,5.43628077916052,5.4392420349864,5.15383721784312,4.16270061308305,3.10384139034261,1.86940914088203,0.270395684552757,-1.10944815588337,-1.76150936403476
"37",-27.2992490135899,-25.7360042484737,-24.2528848736381,-22.6846835852867,-20.5546940549212,-18.7477832435066,-16.9476098394633,-15.6394421417135,-14.296848831005,-13.2479586375029,-12.2021020195742,-11.2786569444517,-10.783824146238,-10.3712459450967,-10.2001862705532,-10.4034118816365,-10.4658098056076,-10.3735291014866,-9.97181329958282,-9.89850409023925,-10.0590397053041,-10.0301302520433,-10.7032172848627,-11.1981011183643,-10.1732535542774,-9.48154075450242,-8.71075314614387,-7.66851950487169,-6.60371018175321,-4.07378744301798,-1.8098574283673,0.161079773906361,1.76100455171038,3.42911852563558,4.23175084100054,4.73583957000086,5.28815072891304,5.90064276969728,6.39055519168223,6.28985684527138,6.07128274313884,5.86959824294457,5.63966062309536,5.15691814859471,4.01695970858098,2.80609581335773,1.23529009846601,-0.525831978755679,-2.06913253583473,-2.7972727653085
"38",-27.3156443213616,-25.786110905586,-24.2657281359152,-22.7272697667168,-20.6746072845158,-18.9038644177327,-17.1295000786175,-15.9333641802067,-14.6160566572749,-13.5905619867454,-12.6560742763118,-11.8543649542381,-11.419475095333,-11.0439783648572,-10.9437431963404,-11.0154818805399,-11.1502640197621,-11.1618504199304,-10.8373371542905,-10.7422279600568,-10.7898285156464,-10.7313075283082,-11.4508117819148,-11.4187363515661,-10.0250672011438,-9.04168597322529,-7.89520483916,-6.89771321044047,-5.17804317335747,-2.2555961873115,-0.228417961472027,1.27922333630611,2.4669256213005,3.74773510358506,3.9846691105966,4.29087640267531,4.83731662395338,5.45597228343815,5.78401881081999,5.6294444979033,5.3845855686145,5.08800777556688,4.71370995713056,4.02864577824936,2.76008169967666,1.49603381675357,-0.208801807708271,-1.86760121737195,-3.51547478940518,-4.46172264733622
